17:12:13.278969 ARP, Request who-has 192.168.5.130 (Broadcast) tell 192.168.5.129, length 46
17:12:13.279460 ARP, Reply 192.168.5.130 is-at 00:0c:29:36:59:9f (oui Unknown), length 46
17:12:14.697368 IP 192.168.5.129.56528 > 192.168.5.130.31337: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.697456 IP 192.168.5.129.56528 > 192.168.5.130.25735: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.697533 IP 192.168.5.129.56528 > 192.168.5.130.416: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.697611 IP 192.168.5.129.56528 > 192.168.5.130.6510: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.697754 IP 192.168.5.130.10010 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.697839 IP 192.168.5.130.1503 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.697937 IP 192.168.5.130.2399 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.698095 IP 192.168.5.130.afs3-fileserver > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.698172 IP 192.168.5.130.1029 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.698250 IP 192.168.5.130.1151 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.698344 IP 192.168.5.130.qotd > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.698421 IP 192.168.5.130.19283 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.698494 IP 192.168.5.130.1049 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.698613 IP 192.168.5.129.56528 > 192.168.5.130.3211: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.698695 IP 192.168.5.129.56528 > 192.168.5.130.1040: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.698815 IP 192.168.5.130.3784 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.698893 IP 192.168.5.130.9929 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.698967 IP 192.168.5.130.19780 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.699087 IP 192.168.5.130.8100 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.699226 IP 192.168.5.130.3703 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.699364 IP 192.168.5.130.1028 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.699503 IP 192.168.5.130.4004 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.699604 IP 192.168.5.129.56528 > 192.168.5.130.7921: Flags [S], seq 3953473803, win 1024, options [mss 1460], length 0
17:12:14.699875 IP 192.168.5.130.5560 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.700040 IP 192.168.5.130.9944 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.700336 IP 192.168.5.130.7627 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.700437 IP 192.168.5.130.54328 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.700548 IP 192.168.5.130.31337 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.700715 IP 192.168.5.130.25735 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.700870 IP 192.168.5.130.416 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.701032 IP 192.168.5.130.6510 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
17:12:14.701120 IP 192.168.5.130.3211 > 192.168.5.129.56528: Flags [R.], seq 0, ack 3953473804, win 0, length 0
